file,name,name_arrernte,audio
artwe.png,Man,Artwe,artwe.mp3
arelhe.png,Woman,Arelhe,arelhe.mp3
mutekaye.png,Troopie,Mutekaye,mutekaye.mp3
urtne.png,Bush bus,Urtne,urtne.mp3
mutekayebushcar.png,Bush car,Mutekaye inentye,mutekayeinentye.mp3
tyaperapere.png,Footy,Tyaperapere,tyaperapere.mp3
antyame.png,Swag,Antyame,antyame.mp3
mwekarte.png,Hat,Mwekarte,mwekarte.mp3
ure.png,Fire,Ure,ure.mp3
tyampite.png,Billy can,Tyampite,tyampite.mp3
irrweurinpe.png,Hot tea,Irrwe urinpe,irrweurinpe.mp3
intelhentye.png,Rock art,Intelhentye,intelhentye.mp3
apmere.png,Country / place,Apmere,apmere.mp3
arrkentye.png,Carpetbagger,Ywekethe,ywekethe.mp3
alye.png,Boomerang,Alye,alye.mp3
kwetere.png,Weapon,Kwetere,kwetere.mp3
alkwerte.png,Shield,Alkwerte,alkwerte.mp3
altharte.png,Men's dance,Altharte,altharte.mp3
anthepe.png,Women's dance,Anthepe,anthepe.mp3
urtakerte.png,Heart,Urtakerte,urtakerte.mp3
heart.png,Heart,Urtakerte,urtakerte.mp3
kwertare.png,Crown,Kwertare,kwertare.mp3
tyelarre.png,Flag,Tyelarre,tyelarre.mp3
iltye.png,Hand,Iltye,iltye.mp3
werte.png,What's up?,Werte,werte.mp3
arrangkwe.png,No,Arrangkwe,arrangkwe.mp3
angkeme.png,Talk,Angkeme,angkeme.mp3
urrtyalthe.png,Liar,Urrtyalthe,urrtyalthe.mp3
angayakwe.png,Hungry,Angayakwe,angayakwe.mp3
ahelheantheme.png,Land rights,Ahelhe-antheme,ahelheantheme.mp3
anihetnyeme.png,Land rights,Anihe-tnyeme,anihetnyeme.mp3
antirrkweme.png,No More violence,Antirrkweme,antirrkweme.mp3
impatye.png,Footprint,Impatye,impatye.mp3
kwatyearnerre.png,Rockhole,Kwatye-anerre,kwatyeanerre.mp3
aherrekenheimpatye.png,Roo track,Aherre impatye,aherreimpatye.mp3
anerrirreme.png,Group sitting,Anerr-irreme,anerrirreme.mp3
amiwarre.png,Milky Way,Amiwarre,amiwarre.mp3
kwerralyepule.png,Morning Star,Kwerralye-pule,kwerralyepule.mp3
arrarlkwe.png,Seven Sisters stars,Arrarlkwe,arrarlkwe.mp3
arlrwarrere.png,Whirly wind,Arlewarrere,arlrwarrere.mp3
ingkeampeme.png,Burning foot,Ingke ampeme,ingkeampeme.mp3
urewe.png,River flow,Kwatye-urewe,kwatyeurewe.mp3
urlampe.png,Rain cloud,Urlampe,urlampe.mp3
kereakantye.png,Kangaroo tail,Kere-akantye,kereakange.mp3
aweleawele.png,Bush tomato,Awele-awele,aweleawele.mp3
yalke.png,Bush onion,Yalke,yalke.mp3
pmerlpe.png,Quandong,Pmerlpe,pmerlpe.mp3
anatye.png,Bush yam,Anatye,anatye.mp3
atnerteurrperle.png,Sturt's Desert Pea,Atnerte urrperle,atnerteurrperle.mp3
pertipelawe.png,Sturt's Desert Rose,Antethe,antethe.mp3
antethe.png,Flower,Antethe,antethe.mp3
nameakurne.png,Buffel,Name-akurne,nameakurne.mp3
yerrampe.png,Honey ant,Yerrampe,yerrampe.mp3
akngwelye.png,Dingo,Akngwelye,akngwelye.mp3
antenhe.png,Possum,Antenhe,antenhe.mp3
unyerre.png,Thorny devil,Unyerre,unyerre.mp3
aherte.png,Bilby,Aherte,aherte.mp3
akwerre.png,Golden bandicoot,Akwerre,akwerre.mp3
arrpwere.png,Magpie,Arrpwere,arrpwere.mp3
arlpatye.png,Ringneck parrot,Arlpatye,arlpatye.mp3
lyerrelyerre.png,Fairy wren,Lyerre-lyerre,lyerrelyerre.mp3
ilentye.png,Galah,Ilentye,ilentye.mp3
utnerrengatye.png,Caterpillar,Utnerrengatye,utnerrengatye.mp3
apmwe.png,Snake,Apmwe,apmwe.mp3
arenge.png,Euro,Arenge,arenge.mp3
arleye.png,Emu,Arleye,arleye.mp3
antenhe.png,Possum,Antenhe,antenhe.mp3
atyunpe.png,Perentie,Atyunpe,atyunpe.mp3
irretye.png,Wedge-tailed eagle,Irretye,irretye.mp3
irrarnte.png,Black cockatoo,Irrarnte,irrarnte.mp3
atyelpe.png,Quoll,Atyelpe,atyelpe.mp3
cheekydog.png,Cheeky dog,Akngwelye irrpelthe,
ithane.png,Ghost,Ithane,ithane.mp3
akangkeme.png,Happy,Akangkeme,akangkeme.mp3
anelhentye.png,Cheeky,Anelhentye,anelhentye.mp3
alhirreme.png,In love,Alhirreme,alhirreme.mp3
aretherre.png,Northwest wind,Arwempe,arwempe.mp3
rlkerte.png,Sick,Rlkerte,rlkerte.mp3
antewekeantewe.png,Vomit,Anteweke-antewe,antewekeantewe.mp3
ngangkere.png,Healer,Ngangkere,ngangkere.mp3
ingkwelpe.png,Native tobacco,Ingkwelpe,ingkwelpe.mp3
arerte.png,Crazy,Arerte,arerte.mp3
ilteme.png,Swearing,Ilteme,ilteme.mp3
apwertealkwentyeakngerre.png,Money hungry,Apwerte alkwentye-akngerre,apwertealkwentyeakngerre.mp3
ntyerreme.png,Snoring,Ntyerreme,ntyerreme.mp3
alhwarrpe.png,Sad,Alhwarrpe,alhwarrpe.mp3
akearnteme.png,Hungover,Ake-arnteme,akearnteme.mp3
ahakngerre.png,Angry,Ahakngerre,ahakngerre.mp3
arrakeleakele.png,Worried,Arrakele-akele,arrakeleakele.mp3
arrakertelethilemeleft.png,Pointing left,Arrakerte-le thileme,arrakertelethileme.mp3
arrakertelethilemeright.png,Pointing right,Arrakerte-le thileme,arrakertelethileme.mp3
